"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"560","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:44:26,FALSE,NA,"941816247901028353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RubenBeebe",397,TRUE,FALSE,NA,NA
"561","Hey Friend! #splatoon #amiibo #NintendoSwitch #splatoon2 https://t.co/bNcAd69hXj",FALSE,1,NA,2017-12-15 23:44:18,FALSE,NA,"941816216573722624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baskeytweets",0,FALSE,FALSE,NA,NA
"562","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:43:21,FALSE,NA,"941815974264631297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_BonBonBunny",397,TRUE,FALSE,NA,NA
"563","RT @fluffehfish: a nice book before bedtime never fails to help me unwind :p  #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/aKUJ5cZAaZ",FALSE,0,NA,2017-12-15 23:40:26,FALSE,NA,"941815243184914432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bruce_Nov",508,TRUE,FALSE,NA,NA
"564","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:39:49,FALSE,NA,"941815088335355905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bruce_Nov",397,TRUE,FALSE,NA,NA
"565","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:36:28,FALSE,NA,"941814244319698944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BoardCreeperGuy",397,TRUE,FALSE,NA,NA
"566","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:35:26,FALSE,NA,"941813984134553601",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","s0ulsilver11",397,TRUE,FALSE,NA,NA
"567","RT @CatsupyCat: A small boi under a mistletoe. Is he waiting for a kiss? Nah, he just wants to eat it. =w= #Splatoon2 #Splatoon #catsupyart‚Ä¶",FALSE,0,NA,2017-12-15 23:33:25,FALSE,NA,"941813477915598848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slowmogar",19,TRUE,FALSE,NA,NA
"568","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:32:58,FALSE,NA,"941813362593218560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CanadianLime",397,TRUE,FALSE,NA,NA
"569","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:31:42,FALSE,NA,"941813045294067712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","APDubtalia",397,TRUE,FALSE,NA,NA
"570","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:28:33,FALSE,NA,"941812250553344001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChrisCrossSauce",397,TRUE,FALSE,NA,NA
"571","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:28:24,FALSE,NA,"941812214373105664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShirtlessHazard",397,TRUE,FALSE,NA,NA
"572","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:28:03,FALSE,NA,"941812127882514432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jonhawk117",397,TRUE,FALSE,NA,NA
"573","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:27:53,FALSE,NA,"941812082483265536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_icze4r",397,TRUE,FALSE,NA,NA
"574","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:27:52,FALSE,NA,"941812077915602945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sonicx64LS",397,TRUE,FALSE,NA,NA
"575","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:25:19,FALSE,NA,"941811438422773760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MagentaSquid",397,TRUE,FALSE,NA,NA
"576","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:24:11,FALSE,NA,"941811152966660096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ustubukoz",397,TRUE,FALSE,NA,NA
"577","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:17:11,FALSE,NA,"941809390142726144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LainboCandy",397,TRUE,FALSE,NA,NA
"578","RT @fluffehfish: i'm drunk but splatfest hype Ì†ΩÌ∏Ç #„Çπ„Éó„É©„Éà„Ç•„Éº„É≥2 #Splatoon2 #Splatoon https://t.co/8MVEI83bSE",FALSE,0,NA,2017-12-15 23:17:05,FALSE,NA,"941809365258039297",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","snappercanal",397,TRUE,FALSE,NA,NA
